"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"377","Luke Musgrave","TE","GB","0.9","4.2","0","1.1","BYE","1.2","0","1","4.9","3.8","0.4","1.2","2.8","","","","","","1.8","21.5"
"378","Noah Gray","TE","KC","0.8","0.6","3.2","0.6","0","3.5","3.3","3.3","0","BYE","1.9","4","-","","","","","","1.9","21.2"
"379","Raheem Mostert","RB","LV","-","-","-","7.8","2.2","-0.4","0.7","BYE","1.9","2","2.3","3.5","0.6","","","","","","2.3","20.6"
"380","George Holani","RB","SEA","0","6","3.2","0","0","0","0","BYE","0.9","9.1","0.6","-","-","","","","","","2","19.8"
"381","Savion Williams","WR","GB","0.6","2.4","-0.1","3.8","BYE","0.3","0","7.4","0.2","1.2","3.8","0","-","","","","","","1.8","19.6"
"382","Isaiah Hodgins","WR","NYG","-","-","-","-","-","-","-","-","-","-","8.2","11.2","-","","","","","","9.7","19.4"
"382","Chris Godwin Jr.","WR","TB","-","-","-","4.1","4.1","-","-","-","BYE","-","-","1.9","9.3","","","","","","4.9","19.4"
"384","Brycen Tremayne","WR","CAR","0","6.3","2.5","5.1","1.4","0","0","0","1.3","-","2.7","0","0","","","","","","1.6","19.3"
"385","Jaret Patterson","RB","LAC","-","-","-","-","-","-","-","3","4.4","0.1","-","BYE","11.4","","","","","","4.7","18.9"
"386","Kyle Williams","WR","NE","1.7","0","1.3","-0.2","0","0","0","0","0","13.7","0","2.3","-","","","","","","1.6","18.8"
"387","Mike Gesicki","TE","CIN","1.9","3.3","1.1","1.3","2.5","0","-","-","-","BYE","-","5.5","2.9","","","","","","2.3","18.5"
"388","Tyler Badie","RB","DEN","2.6","3.2","0","1.6","2.1","-","2.9","0.6","1.6","0","0.5","BYE","3.3","","","","","","1.7","18.4"
"389","Taysom Hill","TE","NO","-","-","-","-","0.7","6.1","1.8","1.7","3","2","BYE","1.7","1.2","","","","","","2.3","18.2"
"390","Tank Bigsby","RB","PHI","1.2","-","0","0","0","0","1.5","10.4","BYE","0.7","3.4","0.8","-","","","","","","1.8","18"
"391","Josh Reynolds","WR","NYJ","2.8","-","-","0","6.4","4","4.4","-","BYE","-","-","-","-","","","","","","3.5","17.6"
"392","Curtis Samuel","WR","BUF","-","-","-","1.4","9.6","-","BYE","0","1.1","2.6","2.9","-","-","","","","","","2.9","17.6"
"393","Hunter Luepke","RB","DAL","0","0","0","0.6","1.5","7.7","0.8","0.2","0","BYE","5.6","1.2","-","","","","","","1.6","17.6"
"394","Ashton Dulin","WR","IND","1.5","0","0","2.3","6.5","0","-","-0.3","0","2.2","BYE","5.3","-","","","","","","1.8","17.5"
"395","Mason Rudolph","QB","PIT","-","0.5","-","-","BYE","0","-","-","-","-","9","8.5","-1","","","","","","3.4","17"
"396","Allen Lazard","WR","NYJ","-","0","8.3","1.3","0.8","-","2.6","1","BYE","-","-","1.4","1.5","","","","","","2.1","16.9"
"397","Julian Hill","TE","MIA","2","0","0.9","2.4","4.2","4.6","0.6","-","-","-","1.9","BYE","0","","","","","","1.8","16.6"
"398","Jack Bech","WR","LV","2.8","0","1.5","0","4.2","0","2.3","BYE","0","0","2.4","0","3.2","","","","","","1.4","16.4"
"399","Greg Dulcich","TE","MIA","-","-","-","-","-","-","-","0","7.4","2.7","2.8","BYE","3.4","","","","","","3.3","16.3"
"399","Dont'e Thornton Jr.","WR","LV","5.5","2.5","3.9","0","0","0","0","BYE","-","0.9","0","1.9","1.6","","","","","","1.5","16.3"
"401","Treylon Burks","WR","WAS","-","-","-","-","-","-","-","-","1.9","7.3","-","BYE","7","","","","","","5.4","16.2"
"402","Jamari Thrash","WR","CLE","1.1","1","1.7","0","2.7","2.3","2.8","4.1","BYE","0","-","-","-","","","","","","1.7","15.7"
"402","Malik Davis","RB","DAL","-","-","-","-","-","-","0","0.3","0.3","BYE","2","2.4","10.7","","","","","","2.6","15.7"
"402","Kameron Johnson","WR","TB","0","0","0","0","0.2","14.4","0","0","BYE","1.1","0","0","0","","","","","","1.3","15.7"
"405","Jimmy Horn Jr.","WR","CAR","-","-","-","-","4.1","5.7","2","0.9","1.3","0","0","1.6","-","","","","","","2","15.6"
"406","Ameer Abdullah","RB","IND","-","-","-","-","6.6","2.1","3.2","1.3","1","1.3","BYE","0","0","","","","","","1.9","15.5"
"407","Ian Thomas","TE","LV","0","0","0","0","3.5","0.9","0","BYE","1.4","0","2.5","5.6","1.3","","","","","","1.3","15.2"
"408","Cody White","WR","SEA","0","-","-","-","-","-","-","BYE","12.5","0","0","0","2.6","","","","","","2.5","15.1"
